Item_Number,Description,Length_Price,Straight_Cut_Price,Chop_Price,Join_Price,Box_Price,Box_Qty,Width,Height,Rabbet_H,Cat_Page
67128,WILLOW WALNUT,6.91,8.95,10.99,13.49,3.80,95,2 3/16,1 7/16,5/8,A-73
67145,WILLOW GRAY,6.91,8.95,10.99,13.49,3.80,95,2 3/16,1 7/16,5/8,A-73
67158,WILLOW IVORY,6.91,8.95,10.99,13.49,3.80,95,2 3/16,1 7/16,5/8,A-73
80104,ETHOS MAPLE VENEER,6.83,8.85,10.88,13.37,3.76,260,3/4,2,1 9/16,E-31A
80204,ETHOS MAPLE VENEER,5.25,7.05,8.84,11.14,2.89,210,3/4,1 1/2,1 3/16,E-31A
80304,ETHOS MAPLE VENEER,4.22,5.91,7.61,9.73,2.32,300,5/8,1 5/16,1,E-31A
84104,ETHOS MAPLE VENEER,4.44,6.16,7.88,10.05,2.44,216,1 3/8,1 1/4,13/16,E-31A
85104,ETHOS MAPLE VENEER,6.75,8.76,10.76,13.24,3.71,162,1 1/2,2,1 5/8,E-31A
240-120,ELAN COFFEE,4.62,6.37,8.11,10.31,2.54,228,1 1/2,15/16,7/16,A-31A
240-134,ELAN MAHOGANY,4.62,6.37,8.11,10.31,2.54,228,1 1/2,15/16,9/16,A-31A
241-120,ELAN COFFEE,5.81,7.62,9.42,11.78,3.20,228,2,15/16,1/2,A-31A
241-134,ELAN MAHOGANY,5.81,7.62,9.42,11.78,3.20,228,2,15/16,1/2,A-31A
277-120R,COFFEE BROWN STAIN,4.39,6.11,7.82,9.98,2.41,285,3/4,1 1/4,1 1/8,A-91
277-124R,HONEY MAPLE STAIN,4.39,6.11,7.82,9.98,2.41,265,3/4,1 1/4,1 1/8,A-91
277-125R,CHERRY STAIN,4.39,6.11,7.82,9.98,2.41,265,3/4,1 1/4,1 1/8,A-91
277-128R,WALNUT STAIN,4.39,6.11,7.82,9.98,2.41,265,3/4,1 1/4,1 1/8,A-91
277-129R,CLEAR STAIN,4.39,6.11,7.82,9.98,2.41,265,3/4,1 1/4,1 1/8,A-91
277-134R,MAHOGANY STAIN,4.39,6.11,7.82,9.98,2.41,265,3/4,1 1/4,1 1/8,A-91
277-145R,CHARCOAL STAIN,4.39,6.11,7.82,9.98,2.41,265,3/4,1 1/4,1 1/8,A-91
277-158R,WHITEWASH STAIN,4.39,6.11,7.82,9.98,2.41,265,3/4,1 1/4,1 1/8,A-91
277-159R,BLACK STAIN,4.39,6.11,7.82,9.98,2.41,265,3/4,1 1/4,1 1/8,A-91
321-125,NUANCE CHERRY,3.96,5.61,7.25,9.33,2.18,228,1,1 1/4,7/8,A-05
321-128,NUANCE WALNUT,3.96,5.61,7.25,9.33,2.18,228,1,1 1/4,7/8,A-05
321-134,NUANCE MAHOGANY,3.96,5.61,7.25,9.33,2.18,228,1,1 1/4,7/8,A-05
321-145,NUANCE GRAY,3.96,5.61,7.25,9.33,2.18,228,1,1 1/4,7/8,A-05
322-124,NUANCE HONEY MAPLE,4.26,5.96,7.66,9.79,2.34,228,1 1/2,7/8,1/2,A-05
322-125,NUANCE CHERRY,4.26,5.96,7.66,9.79,2.34,228,1 1/2,7/8,1/2,A-05
322-128,NUANCE WALNUT,4.26,5.96,7.66,9.79,2.34,228,1 1/2,7/8,1/2,A-05
322-134,NUANCE MAHOGANY,4.26,5.96,7.66,9.79,2.34,228,1 1/2,7/8,1/2,A-05
323-124,NUANCE HONEY MAPLE,5.51,7.32,9.12,11.45,3.03,190,2,1,1/2,A-05
323-125,NUANCE CHERRY,5.51,7.32,9.12,11.45,3.03,190,2,1,1/2,A-05
340-129,NATURAL FLOATER,5.33,7.13,8.93,11.23,2.93,228,3/4,2,3/8,L-05
501-128,GROVE WALNUT,4.68,6.43,8.18,10.39,2.57,307,3/4,1 1/8,1,E-09
501-129,GROVE NATURAL,4.68,6.43,8.18,10.39,2.57,307,3/4,1 1/8,1,E-09
501-141,GROVE WENGE,4.68,6.43,8.18,10.39,2.57,307,3/4,1 1/8,1,E-09
501-144,GROVE LT GRAY,4.68,6.43,8.18,10.39,2.57,307,3/4,1 1/8,1,E-09
501-158,GROVE WHITE,4.68,6.43,8.18,10.39,2.57,307,3/4,1 1/8,1,E-09
502-128,GROVE WALNUT,6.69,8.68,10.67,13.14,3.68,153,1 1/2,1 1/8,1,E-09
502-129,GROVE NATURAL,6.69,8.68,10.67,13.14,3.68,153,1 1/2,1 1/8,1,E-09
502-141,GROVE WENGE,6.69,8.68,10.67,13.14,3.68,153,1 1/2,1 1/8,1,E-09
502-144,GROVE LT GRAY,6.69,8.68,10.67,13.14,3.68,153,1 1/2,1 1/8,1,E-09
502-158,GROVE WHITE,6.69,8.68,10.67,13.14,3.68,153,1 1/2,1 1/8,1,E-09
601-124,MILAN PECAN,4.19,5.88,7.56,9.69,2.30,456,1 3/16,3/4,9/16,E-27
601-127,MILAN LT WALNUT,4.19,5.88,7.56,9.69,2.30,456,1 3/16,3/4,9/16,E-27
601-128,MILAN WALNUT,4.19,5.88,7.56,9.69,2.30,456,1 3/16,3/4,9/16,E-27
601-140,MILAN TAUPE,4.19,5.88,7.56,9.69,2.30,456,1 3/16,3/4,9/16,E-27
601-145,MILAN CHARCOAL,4.19,5.88,7.56,9.69,2.30,456,1 3/16,3/4,9/16,E-27
602-124,MILAN PECAN,7.76,9.98,12.21,14.82,4.27,190,2,1,13/16,E-27
602-127,MILAN LT WALNUT,7.76,9.98,12.21,14.82,4.27,190,2,1,13/16,E-27
